key,term,df,sumsq,meansq,statistic,p.value
Number_GSM,Time_in_bath,1,490509.08567032067,490509.08567032067,2.934632072858292,0.08946528202269938
Number_GSM,acetic_acid,1,792935.7102948083,792935.7102948083,4.74399890873747,0.03149725798808606
Number_GSM,Residuals,112,18720240.299687043,167145.00267577716,,
Weight_GSM,Residuals,114,50009287.6,438677.9614035088,,
Number_BM,acetic_acid,1,5513575.954215871,5513575.954215871,12.981583267302817,4.70636945905772e-4
Number_BM,Residuals,112,47568967.063328005,424722.92020828574,,
Weight_BM_4mm,Residuals,114,1173261.0407860868,10291.763515667428,,
Weight_fouling,Residuals,112,485088.53097345127,4331.147597977243,,
