key,contrast,estimate,SE,df,t.ratio,p.value
Number_BM,"60 sec,1 mo,Control - 60 sec,1 mo,4 %",-5.549596997,0.917803018,90,-6.046610102,3.31E-08
Number_BM,"30 sec,3 mo,Control - 30 sec,3 mo,1 %",0.386396373,0.973477106,90,0.396923945,0.692363224
Number_BM,"30 sec,3 mo,Control - 30 sec,3 mo,2 %",-2.457187001,0.973477106,90,-2.524134348,0.013351437
Number_BM,"30 sec,3 mo,Control - 30 sec,3 mo,4 %",-2.782703736,1.026134969,90,-2.711830141,0.008015137
Number_BM,"60 sec,3 mo,Control - 60 sec,3 mo,1 %",-2.257615596,0.973477106,90,-2.319125516,0.02265236
Number_BM,"60 sec,3 mo,Control - 60 sec,3 mo,2 %",-4.465847437,1.026134969,90,-4.352105302,3.55E-05
Number_BM,"60 sec,3 mo,Control - 60 sec,3 mo,4 %",-4.234450001,1.108352442,90,-3.820490523,2.45E-04
,,,,,,
Weight_fouling,"30 sec,48 h,Control - 30 sec,48 h,1 %",3,17.22365763,89,0.174179031,0.862120355
Weight_fouling,"30 sec,48 h,Control - 30 sec,48 h,2 %",3,17.22365763,89,0.174179031,0.862120355
Weight_fouling,"30 sec,48 h,Control - 30 sec,48 h,4 %",-0.7,18.26844766,89,-0.038317432,0.969520412
Weight_fouling,"60 sec,48 h,Control - 30 sec,48 h,1 %",3,17.22365763,89,0.174179031,0.862120355
Weight_fouling,"60 sec,48 h,Control - 60 sec,48 h,2 %",4,17.22365763,89,0.232238708,0.816885806
Weight_fouling,"60 sec,48 h,Control - 60 sec,48 h,4 %",2,17.22365763,89,0.116119354,0.907819563
Weight_fouling,"30 sec,1 mo,Control - 30 sec,1 mo,1 %",-14.6,17.22365763,89,-0.847671285,0.398894941
Weight_fouling,"30 sec,1 mo,Control - 30 sec,1 mo,2 %",-41.8,17.22365763,89,-2.426894502,0.01724424
Weight_fouling,"30 sec,1 mo,Control - 30 sec,1 mo,4 %",-34.8,17.22365763,89,-2.020476763,0.046340011
Weight_fouling,"60 sec,1 mo,Control - 60 sec,1 mo,1 %",-16.6,17.22365763,89,-0.96379064,0.337762347
Weight_fouling,"60 sec,1 mo,Control - 60 sec,1 mo,2 %",-32.4,17.22365763,89,-1.881133538,0.063223135
Weight_fouling,"60 sec,1 mo,Control - 60 sec,1 mo,4 %",-34.8,17.22365763,89,-2.020476763,0.046340011
Weight_fouling,"30 sec,3 mo,Control - 30 sec,3 mo,1 %",54,19.88816673,89,2.715182386,0.00795603
Weight_fouling,"30 sec,3 mo,Control - 30 sec,3 mo,2 %",31.6,19.88816673,89,1.588884507,0.115632801
Weight_fouling,"30 sec,3 mo,Control - 30 sec,3 mo,4 %",7.5,20.79954263,89,0.360584852,0.719264223
Weight_fouling,"60 sec,3 mo,Control - 30 sec,3 mo,1 %",49.5,18.26844766,89,2.709589831,0.008080806
Weight_fouling,"60 sec,3 mo,Control - 60 sec,3 mo,1 %",66.7,18.26844766,89,3.651103873,4.40E-04
Weight_fouling,"60 sec,3 mo,Control - 60 sec,3 mo,4 %",14.5,19.25663464,89,0.752987231,0.453444777
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
