term,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.
Treatment_or_control,1,0.352875755951315,0.352875755951315,25.486681183448088,0.17989117171487265,0.001
Line_position,1,0.02515189988111649,0.02515189988111649,1.816612341927122,0.012822090110076748,0.164
Sampling_time,1,0.7372510223030341,0.7372510223030341,53.24843501065289,0.375840357444047,0.001
Treatment_or_control:Line_position,1,0.04834459808410729,0.04834459808410729,3.4917200672793522,0.024645406347027454,0.033
Treatment_or_control:Sampling_time,1,0.3933530308437938,0.3933530308437938,28.41017871185785,0.20052592569110678,0.001
Line_position:Sampling_time,1,0.03630857915506147,0.03630857915506147,2.622410765098617,0.018509610641563458,0.07
Treatment_or_control:Line_position:Sampling_time,1,0.03603005400988324,0.03603005400988324,2.6022941051779207,0.01836762238118243,0.082
Residuals,24,0.332291916780896,0.013845496532537332,,0.1693978156701235,
Total,31,1.9616068570092073,,,1,
