term,df,sumsq,meansq,F,p.value
Treatment_or_control,1,3208.985891295294,3208.985891295294,39.54346261748497,1.6840320350715789e-6
Line_position,1,18.679768846314026,18.679768846314026,0.23018572411962857,0.6357296563928395
Sampling_time,1,2119.802217825904,2119.802217825904,26.121747678742523,3.138938412757668e-5
Treatment_or_control:Line_position,1,1007.455279050395,1007.455279050395,12.41459810527139,0.0017385282077461892
Treatment_or_control:Sampling_time,1,1451.9450749687649,1451.9450749687649,17.891925280947078,2.9431214348243386e-4
Line_position:Sampling_time,1,340.9246668054982,340.9246668054982,4.201122184354649,0.05147727489427199
Treatment_or_control:Line_position:Sampling_time,1,309.70017700957914,309.70017700957914,3.816351267055111,0.06250680799472644
Residuals,24,1947.620574760516,81.15085728168818,,
