sp,term,estimate,std.error,statistic,p.value
Perna,(Intercept),41.22310057092665,10.811861643740949,3.8127661941355813,8.445328442552093e-4
Perna,Time_in_bath,0.45107851086111833,0.25483802285133184,1.7700596865965714,0.08942180925264638
Perna,factor(Acetic_acid)2,4.265342091910642,17.095054270416696,0.24950737356194852,0.8050914628887056
Perna,factor(Acetic_acid)4,30.251534357301303,17.095054270416696,1.769607389293413,0.08949888135623803
Perna,Time_in_bath:factor(Acetic_acid)2,0.09519060319037315,0.4109139648588467,0.2316557998292225,0.8187691314972978
Perna,Time_in_bath:factor(Acetic_acid)4,-0.8546653212247857,0.41091396485884685,-2.079913058000771,0.04838327533499716
Mytilus,(Intercept),52.12034338478169,5.6115712924049586,9.288012335390718,9.644627148754828e-10
Mytilus,Time_in_bath,0.18255619745700405,0.1037579899009631,1.7594423102380237,0.0902664004513408
Mytilus,factor(Acetic_acid)2,9.21512304257579,5.771173857957074,1.5967502053105418,0.12240574455355557
Mytilus,factor(Acetic_acid)4,13.03323178613066,5.7711738579570735,2.2583328984554742,0.03254406492771451
