sp,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
Perna,0.28828145081029427,0.14000675306243893,18.726693691364485,1.944239004961748,0.12405593568087579,6,-127.11950201002817,268.2390040200563,278.04738569169143,8416.53735864457,24
Mytilus,0.2674410464938301,0.18291501339696437,11.43693593973944,3.164008018539639,0.041291761505092506,4,-113.52708672077318,237.05417344154637,244.06016034985714,3400.891095932296,26
