key,contrast,estimate,SE,df,t.ratio,p.value
GSM (no. ind.),0 | 0 - 0 | 45,-0.929728848802512,0.6404863304052882,83,-1.4515982694184844,0.9310084070967678
GSM (no. ind.),0 | 0 - 0 | 60,0.10738926166106419,0.6384514664991543,83,0.16820270184343988,0.9999999997597246
GSM (no. ind.),0 | 0 - 10 | 35,0.07826046526183844,0.6213946854170752,83,0.12594324846745453,0.9999999999865622
GSM (no. ind.),0 | 0 - 10 | 50,0.858075437868332,0.6213946854170759,83,1.3808863480903406,0.9497094934362594
GSM (no. ind.),0 | 0 - 20 | 25,-0.9006716962732187,0.6384514664991539,83,-1.4107128631278858,0.9423184122480386
GSM (no. ind.),0 | 0 - 20 | 40,0.03476966500761036,0.6213946854170752,83,0.05595423621023285,1
GSM (no. ind.),0 | 0 - 30 | 15,0.28051455688458926,0.621394685417076,83,0.45142735119517435,0.999996152523928
GSM (no. ind.),0 | 0 - 30 | 30,-0.621770246436191,0.6213946854170757,83,-1.0006043840218288,0.9952017551670016
GSM (no. ind.),0 | 0 - 45 | 0,-0.0015982532973703723,0.638451466499154,83,-0.002503327787990115,1
GSM (no. ind.),0 | 0 - 60 | 0,-0.29122864839583107,0.6213946854170755,83,-0.46866935818796157,0.9999944980844843
GSM (no. ind.),0 | 45 - 0 | 60,1.0371181104635763,0.6404863304052889,83,1.6192665810795766,0.8695580661674898
GSM (no. ind.),0 | 45 - 10 | 35,1.0079893140643506,0.6234852198935419,83,1.6167012174506101,0.8706836684372758
GSM (no. ind.),0 | 45 - 10 | 50,1.787804286670844,0.6234852198935424,83,2.8674365159387487,0.15193615365840207
GSM (no. ind.),0 | 45 - 20 | 25,0.02905715252929328,0.6404863304052889,83,0.045367326592132586,1
GSM (no. ind.),0 | 45 - 20 | 40,0.9644985138101224,0.6234852198935422,83,1.5469468770643944,0.8990846345785222
GSM (no. ind.),0 | 45 - 30 | 15,1.2102434056871014,0.6234852198935421,83,1.941093977967507,0.6887901009749275
GSM (no. ind.),0 | 45 - 30 | 30,0.307958602366321,0.6234852198935421,83,0.4939308784559542,0.9999909402868812
GSM (no. ind.),0 | 45 - 45 | 0,0.9281305955051417,0.6404863304052886,83,1.4491028948546596,0.9317386705891106
GSM (no. ind.),0 | 45 - 60 | 0,0.638500200406681,0.6234852198935422,83,1.0240823359304372,0.9942304663759204
GSM (no. ind.),0 | 60 - 10 | 35,-0.029128796399225755,0.6213946854170754,83,-0.0468764813778134,1
GSM (no. ind.),0 | 60 - 10 | 50,0.7506861762072677,0.6213946854170757,83,1.2080666182450732,0.9798674845943314
GSM (no. ind.),0 | 60 - 20 | 25,-1.008060957934283,0.6384514664991541,83,-1.5789155649713251,0.886598540432777
GSM (no. ind.),0 | 60 - 20 | 40,-0.07261959665345383,0.6213946854170755,83,-0.11686549363503501,0.9999999999936731
GSM (no. ind.),0 | 60 - 30 | 15,0.17312529522352507,0.6213946854170755,83,0.27860762134990685,0.9999999646105768
GSM (no. ind.),0 | 60 - 30 | 30,-0.7291595080972553,0.6213946854170757,83,-1.1734241138670967,0.9837023553125412
GSM (no. ind.),0 | 60 - 45 | 0,-0.10898751495843456,0.6384514664991541,83,-0.17070602963143006,0.9999999997217173
GSM (no. ind.),0 | 60 - 60 | 0,-0.3986179100568953,0.6213946854170757,83,-0.6414890880332293,0.999896593411736
GSM (no. ind.),10 | 35 - 10 | 50,0.7798149726064936,0.6038563033158236,83,1.291391624670417,0.9678325812948969
GSM (no. ind.),10 | 35 - 20 | 25,-0.9789321615350572,0.6213946854170752,83,-1.5753790376852124,0.8880240729080511
GSM (no. ind.),10 | 35 - 20 | 40,-0.04349080025422807,0.6038563033158235,83,-0.07202177076800655,1
GSM (no. ind.),10 | 35 - 30 | 15,0.20225409162275082,0.6038563033158235,83,0.3349374520265125,0.9999997851332554
GSM (no. ind.),10 | 35 - 30 | 30,-0.7000307116980294,0.6038563033158237,83,-1.1592670439210524,0.9850951490351336
GSM (no. ind.),10 | 35 - 45 | 0,-0.07985871855920881,0.6213946854170753,83,-0.12851529057672623,0.999999999983546
GSM (no. ind.),10 | 35 - 60 | 0,-0.3694891136576695,0.6038563033158233,83,-0.6118825151427173,0.9999329406045484
GSM (no. ind.),10 | 50 - 20 | 25,-1.7587471341415508,0.6213946854170753,83,-2.8303221373081,0.16508735591951007
GSM (no. ind.),10 | 50 - 20 | 40,-0.8233057728607216,0.6038563033158236,83,-1.3634133954384233,0.9537141516758436
GSM (no. ind.),10 | 50 - 30 | 15,-0.5775608809837427,0.6038563033158239,83,-0.9564541726439041,0.9966664981486506
GSM (no. ind.),10 | 50 - 30 | 30,-1.479845684304523,0.6038563033158236,83,-2.4506586685914695,0.3485691171682934
GSM (no. ind.),10 | 50 - 45 | 0,-0.8596736911657024,0.6213946854170755,83,-1.3834583901996131,0.9490999629691074
GSM (no. ind.),10 | 50 - 60 | 0,-1.149304086264163,0.6038563033158239,83,-1.9032741398131332,0.7133685723301276
GSM (no. ind.),20 | 25 - 20 | 40,0.9354413612808291,0.6213946854170753,83,1.5053900254279904,0.9139710801956773
GSM (no. ind.),20 | 25 - 30 | 15,1.1811862531578081,0.6213946854170757,83,1.9008631404129315,0.714913472581602
GSM (no. ind.),20 | 25 - 30 | 30,0.2789014498370277,0.6213946854170754,83,0.4488314051959282,0.9999963589394583
GSM (no. ind.),20 | 25 - 45 | 0,0.8990734429758485,0.638451466499154,83,1.4082095353398956,0.9429661763457713
GSM (no. ind.),20 | 25 - 60 | 0,0.6094430478773877,0.6213946854170753,83,0.9807664310297959,0.9959142441967158
GSM (no. ind.),20 | 40 - 30 | 15,0.2457448918769789,0.6038563033158235,83,0.40695922279451907,0.9999985784059604
GSM (no. ind.),20 | 40 - 30 | 30,-0.6565399114438014,0.6038563033158236,83,-1.0872452731530462,0.9908045188566502
GSM (no. ind.),20 | 40 - 45 | 0,-0.036367918304980734,0.6213946854170752,83,-0.05852627831950458,1
GSM (no. ind.),20 | 40 - 60 | 0,-0.32599831340344143,0.6038563033158233,83,-0.5398607443747107,0.9999790542888496
