key,term,df,sumsq,meansq,statistic,p.value
GSM (no. ind.),Treat,2,786709.2962991854,393354.6481495927,3.9904978845200034,0.03252919614758992
GSM (no. ind.),Sampling_time,1,3099328.7000966305,3099328.7000966305,31.442019763458447,1.0477207804028086e-5
GSM (no. ind.),Residuals,23,2267174.9664462903,98572.82462809958,NA,NA
GSM biomass (g),Treat,2,169962.82074074083,84981.41037037042,4.766441113729441,0.018542184271010575
GSM biomass (g),Sampling_time,1,3004888.0074074073,3004888.0074074073,168.53829182450144,4.526101466196022e-12
GSM biomass (g),Residuals,23,410069.5659259261,17829.111561996786,NA,NA
Fouling biomass (g),Treat,2,346.82074074074035,173.41037037037017,0.396919105843512,0.6769059249532471
Fouling biomass (g),Sampling_time,1,8713.75674074074,8713.75674074074,19.9449232862238,1.7620908228429443e-4
Fouling biomass (g),Residuals,23,10048.492148148149,436.890962962963,NA,NA
