key,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
GSM (no. ind.),0.5612329773567516,0.548200293515863,1.4081164311328866,43.06349975251811,5.223386928006409e-18,4,-182.88601416009965,375.7720283201993,389.0418300709869,200.2619802462682,101
GSM biomass (g),0.9279652303661227,0.9272658636706481,0.36575183004324896,1326.8650571592864,1.1852305695255055e-60,2,-42.369874751629986,90.73974950325997,98.70163055373254,13.778763321538523,103
Fouling biomass (g),0.6804739333006407,0.6709830600323429,0.7654735474298764,71.69771569636441,6.356891998622273e-25,4,-118.88708959339954,247.77417918679907,261.0439809375867,59.18092493330281,101
