key,contrast,estimate,SE,df,t.ratio,p.value
GSM (no. ind.),Control_2 mo - Control_48 h,3.292362988760653,0.521930245874707,87,6.3080517268029865,1.1406480630981283e-8
GSM (no. ind.),Control_2 mo - 10 | 35_2 mo,0.5276813997557015,0.7130924710324424,87,0.7399901432021913,0.46129821372473956
GSM (no. ind.),Control_2 mo - 10 | 35_48 h,3.5374658792848273,0.713092471032439,87,4.960739347259082,3.4481492226669564e-6
GSM (no. ind.),Control_2 mo - 10 | 50_2 mo,2.256956917277856,0.7130924710324398,87,3.1650269901323687,0.0021374255189362482
GSM (no. ind.),Control_2 mo - 10 | 50_48 h,3.420568115026532,0.7130924710324404,87,4.796808624376742,6.618323446881864e-6
GSM (no. ind.),Control_2 mo - 20 | 25_2 mo,-0.6213069810176417,0.7747990253810958,87,-0.8018943760442175,0.4247989691524092
GSM (no. ind.),Control_2 mo - 20 | 25_48 h,2.7191423692526127,0.7130924710324408,87,3.813169371029456,2.5574189659117216e-4
GSM (no. ind.),Control_2 mo - 20 | 40_2 mo,0.9944510028865923,0.7130924710324404,87,1.3945610748726474,0.1666990662939785
GSM (no. ind.),Control_2 mo - 20 | 40_48 h,3.012062475833561,0.713092471032441,87,4.223943735477375,5.889889745404504e-5
GSM (no. ind.),Control_2 mo - 30 | 15_2 mo,0.9919616170570346,0.7130924710324399,87,1.3910701029010142,0.16775157623677558
GSM (no. ind.),Control_2 mo - 30 | 15_48 h,3.492250852211156,0.7130924710324411,87,4.897332385454791,4.442985620647208e-6
GSM (no. ind.),Control_2 mo - 30 | 30_2 mo,-0.48428055455717633,0.7130924710324412,87,-0.679127286053122,0.4988599932547747
GSM (no. ind.),Control_2 mo - 30 | 30_48 h,3.132036896723061,0.7130924710324409,87,4.392188985235513,3.148834890327703e-5
GSM (no. ind.),Control_2 mo - 45 | 0_2 mo,0.27134742996640837,0.7747990253810978,87,0.3502165349691059,0.7270226701908349
GSM (no. ind.),Control_2 mo - 45 | 0_48 h,3.624278231331829,0.7130924710324414,87,5.0824800128438685,2.1100059373700907e-6
GSM (no. ind.),Control_2 mo - 60 | 0_2 mo,-1.0064616724079947,0.7130924710324411,87,-1.4114041492414062,0.16169180975267874
GSM (no. ind.),Control_2 mo - 60 | 0_48 h,4.26792772643842,0.7130924710324409,87,5.985097164550288,4.709953102706657e-8
GSM (no. ind.),Control_48 h - 10 | 35_2 mo,-2.764681589004952,0.7059826975375928,87,-3.9160755619761285,1.785253712836208e-4
GSM (no. ind.),Control_48 h - 10 | 35_48 h,0.2451028905241741,0.705982697537591,87,0.3471797416269161,0.7292947278657387
GSM (no. ind.),Control_48 h - 10 | 50_2 mo,-1.035406071482797,0.7059826975375917,87,-1.466616781252864,0.14608578988528861
GSM (no. ind.),Control_48 h - 10 | 50_48 h,0.128205126265879,0.7059826975375919,87,0.181598113824953,0.8563205586014887
GSM (no. ind.),Control_48 h - 20 | 25_2 mo,-3.9136699697782946,0.7682605200781831,87,-5.094196392364421,2.0119826680751075e-6
GSM (no. ind.),Control_48 h - 20 | 25_48 h,-0.5732206195080405,0.7059826975375921,87,-0.8119471220858322,0.41903801495831927
GSM (no. ind.),Control_48 h - 20 | 40_2 mo,-2.2979119858740606,0.7059826975375917,87,-3.2549126117240332,0.0016166814411613635
GSM (no. ind.),Control_48 h - 20 | 40_48 h,-0.28030051292709235,0.7059826975375921,87,-0.3970359527290921,0.6923132802464373
GSM (no. ind.),Control_48 h - 30 | 15_2 mo,-2.3004013717036185,0.7059826975375915,87,-3.258438740392967,0.0015989033579015268
GSM (no. ind.),Control_48 h - 30 | 15_48 h,0.19988786345050302,0.7059826975375922,87,0.28313422431979557,0.777746557660113
GSM (no. ind.),Control_48 h - 30 | 30_2 mo,-3.7766435433178294,0.7059826975375922,87,-5.34948456455157,7.0471460685099965e-007
GSM (no. ind.),Control_48 h - 30 | 30_48 h,-0.16032609203759218,0.705982697537592,87,-0.22709634754052194,0.8208816119965806
GSM (no. ind.),Control_48 h - 45 | 0_2 mo,-3.021015558794245,0.7682605200781841,87,-3.932280105304387,1.6861285999386028e-4
GSM (no. ind.),Control_48 h - 45 | 0_48 h,0.331915242571176,0.7059826975375924,87,0.4701464267167852,0.6394268340054725
GSM (no. ind.),Control_48 h - 60 | 0_2 mo,-4.298824661168648,0.7059826975375922,87,-6.089136003138013,2.9912947360463736e-8
GSM (no. ind.),Control_48 h - 60 | 0_48 h,0.9755647376777667,0.705982697537592,87,1.381853607858173,0.170554693569179
GSM (no. ind.),10 | 35_2 mo - 10 | 35_48 h,3.0097844795291255,0.8570304894849282,87,3.5118756175617434,7.078807044324464e-4
GSM (no. ind.),10 | 35_2 mo - 10 | 50_2 mo,1.7292755175221546,0.8570304894849287,87,2.017752622268364,0.046698448450143724
GSM (no. ind.),10 | 35_2 mo - 10 | 50_48 h,2.892886715270831,0.8570304894849289,87,3.375477011336483,0.0011028684061965028
GSM (no. ind.),10 | 35_2 mo - 20 | 25_2 mo,-1.1489883807733432,0.909018106197628,87,-1.2639884430679795,0.20961033877312446
GSM (no. ind.),10 | 35_2 mo - 20 | 25_48 h,2.1914609694969114,0.857030489484929,87,2.557039681066619,0.012290305442481535
GSM (no. ind.),10 | 35_2 mo - 20 | 40_2 mo,0.4667696031308908,0.8570304894849288,87,0.5446359363613972,0.587397275042336
GSM (no. ind.),10 | 35_2 mo - 20 | 40_48 h,2.4843810760778595,0.857030489484929,87,2.898824611911952,0.00473984426931859
GSM (no. ind.),10 | 35_2 mo - 30 | 15_2 mo,0.46428021730133306,0.8570304894849285,87,0.5417312721048738,0.5893883711086099
GSM (no. ind.),10 | 35_2 mo - 30 | 15_48 h,2.9645694524554544,0.8570304894849292,87,3.4591178363294226,8.414317345971248e-4
GSM (no. ind.),10 | 35_2 mo - 30 | 30_2 mo,-1.011961954312878,0.8570304894849291,87,-1.1807770747118482,0.2409093651868132
GSM (no. ind.),10 | 35_2 mo - 30 | 30_48 h,2.6043554969673597,0.857030489484929,87,3.038813121494154,0.0031360600538932427
GSM (no. ind.),10 | 35_2 mo - 45 | 0_2 mo,-0.2563339697892931,0.9090181061976288,87,-0.2819899494208356,0.778620924950967
GSM (no. ind.),10 | 35_2 mo - 45 | 0_48 h,3.096596831576128,0.8570304894849292,87,3.6131699741944607,5.056414024979951e-4
GSM (no. ind.),10 | 35_2 mo - 60 | 0_2 mo,-1.5341430721636962,0.8570304894849291,87,-1.7900682542644524,0.07692194542789403
GSM (no. ind.),10 | 35_2 mo - 60 | 0_48 h,3.740246326682718,0.857030489484929,87,4.364192840946169,3.497972553355735e-5
GSM (no. ind.),10 | 35_48 h - 10 | 50_2 mo,-1.2805089620069712,0.8570304894849272,87,-1.49412299529338,0.13876167923611016
GSM (no. ind.),10 | 35_48 h - 10 | 50_48 h,-0.11689776425829512,0.8570304894849273,87,-0.13639860622525848,0.891821309326789
GSM (no. ind.),10 | 35_48 h - 20 | 25_2 mo,-4.158772860302469,0.9090181061976266,87,-4.575016528216793,1.570402841594508e-5
GSM (no. ind.),10 | 35_48 h - 20 | 25_48 h,-0.8183235100322146,0.8570304894849277,87,-0.954835936495123,0.34230626799242403
GSM (no. ind.),10 | 35_48 h - 20 | 40_2 mo,-2.543014876398235,0.8570304894849273,87,-2.9672396812003496,0.0038797189818417536
GSM (no. ind.),10 | 35_48 h - 20 | 40_48 h,-0.5254034034512665,0.8570304894849275,87,-0.6130510056497899,0.5414419575993863
