contrast,estimate,SE,df,t.ratio,p.value
"8 - 10 mm,4 % - 12 - 15 mm,4 %",3.3333333333333632,6.564024661218635,90,0.507818526799154,0.9999998970505274
"8 - 10 mm,4 % - 2 - 5 mm,8 %",-3.3333333333332824,6.564024661218637,90,-0.5078185267991415,0.9999998970505274
"8 - 10 mm,4 % - 8 - 10 mm,8 %",17.22222222222227,6.564024661218653,90,2.623729055128939,0.3689012807924721
"8 - 10 mm,4 % - 12 - 15 mm,8 %",13.888888888888953,6.564024661218627,90,2.1159105283298016,0.7208861290641592
"12 - 15 mm,4 % - 2 - 5 mm,8 %",-6.666666666666645,6.564024661218635,90,-1.0156370535982955,0.999442531121499
"12 - 15 mm,4 % - 8 - 10 mm,8 %",13.888888888888907,6.564024661218619,90,2.115910528329797,0.7208861290641624
"12 - 15 mm,4 % - 12 - 15 mm,8 %",10.555555555555589,6.564024661218631,90,1.6080920015306461,0.952535514731111
"2 - 5 mm,8 % - 8 - 10 mm,8 %",20.555555555555554,6.564024661218623,90,3.131547581928094,0.1278252630012543
"2 - 5 mm,8 % - 12 - 15 mm,8 %",17.222222222222236,6.564024661218629,90,2.623729055128943,0.3689012807924694
"8 - 10 mm,8 % - 12 - 15 mm,8 %",-3.333333333333317,6.564024661218616,90,-0.5078185267991485,0.9999998970505274
