term,estimate,std.error,statistic,p.value
(Intercept),85.75000000000009,3.121453629409097,27.471175349874695,9.483593912187872e-56
size8 - 10 mm,10.791666666666682,4.41440205702908,2.4446497005144883,0.015849492430950376
size12 - 15 mm,6.972222222222188,4.414402057029067,1.5794261900363824,0.11668731179666621
aa,-2.250000000000005,0.7570637070306658,-2.9720088007188883,0.0035306395682115784
size8 - 10 mm:aa,-4.041666666666661,1.0706497620632198,-3.774966202652561,2.4305693874934734e-4
size12 - 15 mm:aa,-3.3611111111111045,1.0706497620632192,-3.1393189726526454,0.0020994536888015187
