term,df,sumsq,meansq,statistic,p.value
size,2,219.25925925926157,109.62962962963078,0.5313254175113484,0.5891061222463538
aa,1,24036.134259259263,24036.134259259263,116.49231246885464,9.542626781089829e-20
size:aa,2,3371.4351851851766,1685.7175925925883,8.169913614744177,4.5627540611595946e-4
Residuals,129,26616.874999999996,206.33236434108525,NA,NA
