contrast,estimate,SE,df,t.ratio,p.value
10 sec - 30 sec,4.777777777777825,2.935521069693989,90,1.6275740028246095,0.23938260240979803
10 sec - 60 sec,8.33333333333338,2.9355210696939764,90,2.8387918653917605,0.01531009384172155
30 sec - 60 sec,3.555555555555555,2.9355210696939875,90,1.2112178625671397,0.44968131561632463
